Cliente_ID,Idade,Renda_Mensal,Score_Credito,Produto,Valor_Operacao,Estado,Status,Data_Operacao,Canal,Tempo_Relacionamento_Meses
10000,56,6675.13,762,Cartão de Crédito,867.96,SP,Adimplente,2022-04-15,Telefone,87
10001,69,3372.71,850,Cartão de Crédito,515.25,RS,Adimplente,2023-06-02,Digital,78
10002,46,7427.46,850,Empréstimo Pessoal,17152.7,RS,Adimplente,2022-01-07,Correspondente Bancário,98
10003,32,4719.91,728,Financiamento Veicular,33061.64,PR,Adimplente,2022-12-11,Telefone,14
10004,60,6777.2,491,Cartão de Crédito,1799.34,RJ,Adimplente,2022-02-14,Telefone,94
10005,25,6468.9,744,Previdência,618.2,MG,Adimplente,2023-10-06,Correspondente Bancário,80
10006,38,2922.4,520,Conta Corrente,45.82,RS,Adimplente,2022-10-24,Digital,11
10007,56,6005.8,599,Investimento,14620.71,GO,Adimplente,2023-01-09,Correspondente Bancário,21
10008,36,5652.55,707,Conta Corrente,701.82,RJ,Adimplente,2022-03-15,Telefone,78
10009,40,5060.62,529,Financiamento Veicular,25621.16,MG,Adimplente,2023-10-18,Agência,89
10010,28,4811.26,478,Investimento,12223.36,PR,Inadimplente,2022-11-20,Digital,52
10011,28,4828.21,720,Consignado,16186.47,SP,Adimplente,2023-10-21,Telefone,59
10012,41,6625.38,850,Financiamento Veicular,63424.28,SP,Adimplente,2023-08-22,Agência,55
10013,53,6155.82,836,Seguro,1264.29,RJ,Adimplente,2022-02-18,Agência,111
10014,57,5060.96,756,Cartão de Crédito,1306.56,SP,Adimplente,2022-03-07,Agência,50
10015,41,2016.13,797,Seguro,1293.67,RS,Adimplente,2022-01-12,Correspondente Bancário,88
10016,20,5988.89,746,Cartão de Crédito,1496.62,PR,Adimplente,2022-10-28,Telefone,56
10017,39,6447.23,717,Financiamento Veicular,78172.73,MG,Adimplente,2023-06-04,Telefone,117
10018,19,9600.82,785,Cartão de Crédito,2503.38,GO,Adimplente,2022-07-23,Telefone,20
10019,41,7150.87,445,Conta Corrente,598.94,BA,Adimplente,2022-04-25,Digital,119
10020,61,1201.65,680,Conta Corrente,239.45,GO,Adimplente,2023-08-04,Telefone,11
10021,47,5156.86,638,Cartão de Crédito,1524.01,BA,Adimplente,2022-05-09,Digital,17
10022,55,8622.75,662,Previdência,897.58,PE,Adimplente,2023-03-10,Agência,28
10023,19,6247.1,581,Investimento,49762.32,PR,Adimplente,2023-03-25,Correspondente Bancário,116
10024,38,5657.3,728,Previdência,596.04,SP,Adimplente,2023-07-22,Agência,30
10025,50,6800.46,527,Investimento,12218.15,SP,Adimplente,2022-12-05,Digital,10
10026,29,3755.24,570,Investimento,11497.6,SP,Adimplente,2023-08-08,Correspondente Bancário,74
10027,39,5956.18,552,Previdência,1711.25,SP,Adimplente,2022-04-10,Correspondente Bancário,85
10028,61,4499.06,780,Seguro,1200.54,RJ,Adimplente,2023-11-21,Correspondente Bancário,84
10029,42,4960.75,648,Cartão de Crédito,1291.17,SP,Adimplente,2022-07-16,Telefone,25
10030,66,6656.91,581,Previdência,917.82,SP,Adimplente,2022-03-19,Agência,57
10031,44,3146.57,594,Cartão de Crédito,930.21,SP,Adimplente,2022-08-31,Digital,22
10032,59,7575.96,651,Seguro,1796.98,MG,Adimplente,2022-06-18,Agência,49
10033,45,4154.38,850,Empréstimo Pessoal,38564.53,CE,Adimplente,2022-10-20,Telefone,55
10034,33,5521.33,465,Previdência,826.55,SP,Inadimplente,2023-07-10,Telefone,8
10035,32,2198.98,751,Conta Corrente,502.85,SP,Adimplente,2022-06-11,Correspondente Bancário,8
10036,64,6439.67,721,Cartão de Crédito,1352.03,SC,Adimplente,2022-08-29,Digital,52
10037,68,7893.01,518,Cartão de Crédito,1581.36,PE,Inadimplente,2022-03-25,Agência,54
10038,61,3970.72,850,Conta Corrente,669.73,PE,Adimplente,2022-09-29,Agência,51
10039,69,2779.55,731,Financiamento Veicular,44719.6,PR,Adimplente,2022-03-16,Telefone,2
10040,20,5555.97,574,Previdência,609.89,RS,Adimplente,2022-09-29,Digital,17
10041,54,7909.62,371,Conta Corrente,369.53,GO,Inadimplente,2023-07-11,Agência,91
10042,68,2100.29,684,Consignado,21372.7,RS,Adimplente,2023-11-11,Digital,14
10043,24,2787.38,643,Financiamento Veicular,63257.08,SP,Adimplente,2022-10-16,Digital,78
10044,38,4091.62,495,Investimento,34687.36,PR,Adimplente,2023-06-02,Agência,63
10045,26,3359.31,493,Consignado,5558.59,GO,Adimplente,2022-10-11,Digital,6
10046,56,3365.63,780,Empréstimo Pessoal,21805.76,RJ,Adimplente,2023-03-29,Agência,71
10047,35,1000.0,357,Seguro,612.87,RS,Adimplente,2022-06-02,Digital,70
10048,21,6178.11,697,Empréstimo Pessoal,27122.93,SC,Adimplente,2023-01-09,Agência,116
10049,42,5677.44,622,Empréstimo Pessoal,39041.87,GO,Adimplente,2022-12-29,Agência,100
10050,31,1602.3,725,Seguro,1888.65,CE,Adimplente,2022-06-16,Agência,103
10051,67,7914.39,606,Financiamento Veicular,26658.44,GO,Adimplente,2023-02-26,Digital,103
10052,26,8362.18,694,Investimento,19744.54,SP,Adimplente,2023-04-27,Digital,29
10053,43,3498.19,539,Investimento,18133.26,SC,Adimplente,2022-08-22,Correspondente Bancário,29
10054,19,7333.1,643,Empréstimo Pessoal,24743.51,PR,Adimplente,2022-10-13,Correspondente Bancário,45
10055,37,3854.0,723,Seguro,1908.86,PR,Adimplente,2022-09-25,Telefone,23
10056,45,5362.23,673,Consignado,28459.14,SP,Adimplente,2023-03-23,Correspondente Bancário,78
10057,64,3328.48,707,Cartão de Crédito,626.99,RJ,Adimplente,2022-01-02,Agência,67
10058,24,9428.5,511,Investimento,47494.85,RJ,Adimplente,2023-10-01,Digital,41
10059,61,4407.97,561,Cartão de Crédito,917.05,PR,Adimplente,2022-12-01,Telefone,52
10060,25,5252.9,564,Consignado,33707.98,MG,Adimplente,2023-11-25,Agência,96
10061,64,3624.13,609,Financiamento Veicular,41394.89,RS,Adimplente,2022-11-08,Telefone,37
10062,52,8722.63,850,Investimento,23784.42,RJ,Adimplente,2022-08-07,Telefone,66
10063,31,8773.23,597,Previdência,1488.28,BA,Adimplente,2023-11-11,Agência,82
10064,34,8261.86,478,Conta Corrente,672.8,SP,Adimplente,2022-07-23,Agência,19
